Provincia de procedencia (agrupadas por comunidad autónoma);Nacionalidad;Continente de nacimiento;Total
Palmas, Las;Total;Nacidos en Asia;225
Palmas, Las;Total;Nacidos en Oceanía;8
Palmas, Las;Españoles;Total;1.335
Palmas, Las;Españoles;Nacidos en España;697
Palmas, Las;Españoles;Nacidos en la UE27_2020;22
Palmas, Las;Españoles;Nacidos en el resto de Europa;18
Palmas, Las;Españoles;Nacidos en África;126
Palmas, Las;Españoles;Nacidos en América;449
Palmas, Las;Españoles;Nacidos en Asia;23
Palmas, Las;Españoles;Nacidos en Oceanía;0
Palmas, Las;Extranjeros;Total;4.469
Palmas, Las;Extranjeros;Nacidos en España;133
Palmas, Las;Extranjeros;Nacidos en la UE27_2020;2.064
Palmas, Las;Extranjeros;Nacidos en el resto de Europa;603
Palmas, Las;Extranjeros;Nacidos en África;603
Palmas, Las;Extranjeros;Nacidos en América;856
Palmas, Las;Extranjeros;Nacidos en Asia;202
Palmas, Las;Extranjeros;Nacidos en Oceanía;8
Santa Cruz de Tenerife;Total;Total;4.385
Santa Cruz de Tenerife;Total;Nacidos en España;684
Santa Cruz de Tenerife;Total;Nacidos en la UE27_2020;1.179
Santa Cruz de Tenerife;Total;Nacidos en el resto de Europa;377
Santa Cruz de Tenerife;Total;Nacidos en África;252
Santa Cruz de Tenerife;Total;Nacidos en América;1.757
Santa Cruz de Tenerife;Total;Nacidos en Asia;133
Santa Cruz de Tenerife;Total;Nacidos en Oceanía;3
Santa Cruz de Tenerife;Españoles;Total;1.505
Santa Cruz de Tenerife;Españoles;Nacidos en España;617
Santa Cruz de Tenerife;Españoles;Nacidos en la UE27_2020;20
Santa Cruz de Tenerife;Españoles;Nacidos en el resto de Europa;24
Santa Cruz de Tenerife;Españoles;Nacidos en África;70
Santa Cruz de Tenerife;Españoles;Nacidos en América;744
Santa Cruz de Tenerife;Españoles;Nacidos en Asia;30
Santa Cruz de Tenerife;Españoles;Nacidos en Oceanía;0
Santa Cruz de Tenerife;Extranjeros;Total;2.880
Santa Cruz de Tenerife;Extranjeros;Nacidos en España;67
Santa Cruz de Tenerife;Extranjeros;Nacidos en la UE27_2020;1.159
Santa Cruz de Tenerife;Extranjeros;Nacidos en el resto de Europa;353
Santa Cruz de Tenerife;Extranjeros;Nacidos en África;182
Santa Cruz de Tenerife;Extranjeros;Nacidos en América;1.013
Santa Cruz de Tenerife;Extranjeros;Nacidos en Asia;103
Santa Cruz de Tenerife;Extranjeros;Nacidos en Oceanía;3
CANTABRIA;Total;Total;1.518
CANTABRIA;Total;Nacidos en España;377
CANTABRIA;Total;Nacidos en la UE27_2020;254
CANTABRIA;Total;Nacidos en el resto de Europa;127
CANTABRIA;Total;Nacidos en África;141
CANTABRIA;Total;Nacidos en América;567
CANTABRIA;Total;Nacidos en Asia;51
CANTABRIA;Total;Nacidos en Oceanía;1
CANTABRIA;Españoles;Total;506
CANTABRIA;Españoles;Nacidos en España;342
CANTABRIA;Españoles;Nacidos en la UE27_2020;5
CANTABRIA;Españoles;Nacidos en el resto de Europa;18
CANTABRIA;Españoles;Nacidos en África;16
CANTABRIA;Españoles;Nacidos en América;117
CANTABRIA;Españoles;Nacidos en Asia;8
CANTABRIA;Españoles;Nacidos en Oceanía;0
CANTABRIA;Extranjeros;Total;1.012
CANTABRIA;Extranjeros;Nacidos en España;35
CANTABRIA;Extranjeros;Nacidos en la UE27_2020;249
CANTABRIA;Extranjeros;Nacidos en el resto de Europa;109
CANTABRIA;Extranjeros;Nacidos en África;125
CANTABRIA;Extranjeros;Nacidos en América;450
CANTABRIA;Extranjeros;Nacidos en Asia;43
CANTABRIA;Extranjeros;Nacidos en Oceanía;1
CASTILLA Y LEÓN;Total;Total;6.915
CASTILLA Y LEÓN;Total;Nacidos en España;1.478
CASTILLA Y LEÓN;Total;Nacidos en la UE27_2020;2.027
CASTILLA Y LEÓN;Total;Nacidos en el resto de Europa;200
CASTILLA Y LEÓN;Total;Nacidos en África;744
CASTILLA Y LEÓN;Total;Nacidos en América;2.079
CASTILLA Y LEÓN;Total;Nacidos en Asia;377
CASTILLA Y LEÓN;Total;Nacidos en Oceanía;10
CASTILLA Y LEÓN;Españoles;Total;1.830
CASTILLA Y LEÓN;Españoles;Nacidos en España;1.262
CASTILLA Y LEÓN;Españoles;Nacidos en la UE27_2020;32
CASTILLA Y LEÓN;Españoles;Nacidos en el resto de Europa;23
CASTILLA Y LEÓN;Españoles;Nacidos en África;123
CASTILLA Y LEÓN;Españoles;Nacidos en América;357
CASTILLA Y LEÓN;Españoles;Nacidos en Asia;33
CASTILLA Y LEÓN;Españoles;Nacidos en Oceanía;0
CASTILLA Y LEÓN;Extranjeros;Total;5.085
CASTILLA Y LEÓN;Extranjeros;Nacidos en España;216
CASTILLA Y LEÓN;Extranjeros;Nacidos en la UE27_2020;1.995
CASTILLA Y LEÓN;Extranjeros;Nacidos en el resto de Europa;177
CASTILLA Y LEÓN;Extranjeros;Nacidos en África;621
CASTILLA Y LEÓN;Extranjeros;Nacidos en América;1.722
CASTILLA Y LEÓN;Extranjeros;Nacidos en Asia;344
CASTILLA Y LEÓN;Extranjeros;Nacidos en Oceanía;10
Ávila;Total;Total;400
Ávila;Total;Nacidos en España;94
Ávila;Total;Nacidos en la UE27_2020;44
Ávila;Total;Nacidos en el resto de Europa;5
Ávila;Total;Nacidos en África;75
Ávila;Total;Nacidos en América;150
Ávila;Total;Nacidos en Asia;30
Ávila;Total;Nacidos en Oceanía;2
Ávila;Españoles;Total;118
Ávila;Españoles;Nacidos en España;78
Ávila;Españoles;Nacidos en la UE27_2020;3
Ávila;Españoles;Nacidos en el resto de Europa;0
Ávila;Españoles;Nacidos en África;17
Ávila;Españoles;Nacidos en América;20
Ávila;Españoles;Nacidos en Asia;0
Ávila;Españoles;Nacidos en Oceanía;0
Ávila;Extranjeros;Total;282
Ávila;Extranjeros;Nacidos en España;16
Ávila;Extranjeros;Nacidos en la UE27_2020;41
